"title","name","start","end","value"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(신용현의원 등 23인)","2017-06-01","2017-11-24","6"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이원욱의원 등 12인)","2017-05-29","2017-05-29","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이용호의원 등 10인)","2017-05-24","2017-05-24","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(이동섭의원 등 11인)","2017-05-19","2017-05-19","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(표창원의원 등 10인)","2017-04-26","2017-04-26","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(서영교의원 등 16인)","2017-03-20","2017-03-20","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이주영의원 등 10인)","2017-03-08","2017-03-08","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(남인순의원 등 10인)","2017-03-08","2017-03-08","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이원욱의원 등 21인)","2017-02-28","2017-02-28","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김명연의원 등 10인)","2017-02-13","2017-02-13","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이명수의원 등 11인)","2017-02-09","2017-09-28","6"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김삼화의원 등 11인)","2017-01-02","2017-01-02","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김삼화의원 등 12인)","2016-12-30","2017-11-24","7"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(함진규의원 등 10인)","2016-12-29","2016-12-29","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(박인숙의원 등 10인)","2016-12-28","2017-11-09","6"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(정춘숙의원 등 11인)","2016-12-20","2016-12-20","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(김동철의원 등 12인)","2016-12-16","2016-12-16","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김삼화의원 등 10인)","2016-12-15","2016-12-15","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(박남춘의원 등 12인)","2016-12-13","2016-12-13","2"
"폭력","  성폭력범죄자의 성충동 약물치료에 관한 법률 일부개정법률안(김진태의원 등 12인)","2016-12-13","2017-09-28","6"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(대안)","2016-11-30","2016-12-01","6"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(이종배의원 등 10인)","2016-11-25","2017-03-30","6"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김상희의원 등 12인)","2016-11-18","2016-11-18","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(김삼화의원 등 11인)","2016-11-15","2017-03-02","6"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(소병훈의원 등 10인)","2016-11-02","2016-11-02","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(소병훈의원 등 10인)","2016-11-02","2016-11-02","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(전희경의원 등 12인)","2016-10-21","2016-10-21","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김명연의원 등 17인)","2016-10-20","2016-10-20","2"
"폭력","  경찰폭력에 의한 백남기 농민 사망사건에 대한 진상규명 등을 위한 특별검사의 수사요구안(우상호의원 등 3인 외 163인)","2016-10-05","2016-10-05","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(신용현의원 등 12인)","2016-09-20","2017-11-24","7"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(진선미의원 등 12인)","2016-09-12","2018-11-29","7"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(서영교의원 등 12인)","2016-08-31","2016-09-08","1"
"폭력","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(정춘숙의원 등 22인)","2016-08-24","2017-11-24","6"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김도읍의원 등 10인)","2016-08-19","2016-12-01","7"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김삼화의원 등 10인)","2016-08-19","2016-08-19","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안","2016-08-18","2016-12-01","7"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(서영교의원 등 18인)","2016-08-11","2016-08-11","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(진선미의원 등 16인)","2016-08-09","2016-08-09","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(심재철의원 등 13인)","2016-07-27","2017-11-24","7"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(남인순의원 등 19인)","2016-07-12","2016-07-12","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(노웅래의원 등 10인)","2016-06-27","2016-06-27","2"
"폭력","  폭력행위 등 처벌에 관한 법률 일부개정법률안(노웅래의원 등 10인)","2016-06-27","2016-06-27","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(신용현의원 등 15인)","2016-06-22","2016-06-22","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(주승용의원 등 10인)","2016-06-10","2016-06-10","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이원욱의원 등 11인)","2016-05-31","2017-11-24","7"
